review_id,review_text,rating,review_length,helpful_votes,days_since_purchase,verified_purchase,sentiment
84,고음질 코덱을 지원해서 음악 감상이 즐거워요. 착용감이 편안해서 오래 껴도 아프지 않아요.,5.0,50,3.0,10.0,True,positive
85,착용감이 불편해서 오래 끼기 힘들어요. 통화 음질이 먹먹하게 들려서 불편해요. 노이즈캔슬링이 거의 작동하지 않는 것 같아요. ...,1.0,73,7.0,320.0,False,negative
86,통화 음질도 선명해서 업무용으로도 좋아요. 방수 기능 덕분에 운동할 때도 안심돼요. 이 가격에 이 정도 성능이면 훌륭하죠.,5.0,68,4.0,240.0,True,positive
87,이 가격에 이 정도 성능이면 훌륭하죠. 친구에게도 추천하고 싶은 이어폰이에요. ...,,47,,,True,positive
88,디자인이 깔끔하고 케이스도 고급스러워요. 무게가 가벼워서 착용감이 뛰어나요.,5.0,42,18.0,127.0,False,positive
89,설명서와 다르게 작동해서 당황스러웠습니다.,2.0,23,7.0,128.0,True,negative
90,소리가 자꾸 끊겨서 음악 감상이 힘들어요.,1.0,23,7.0,251.0,True,negative
91,배송도 늦고 포장 상태도 엉망이었어요. 리뷰만 믿고 샀는데 후회가 됩니다. 친구에게는 추천하지 않을 것 같아요. ㅎㅎ,1.0,65,6.0,113.0,True,negative
92,친구에게는 추천하지 않을 것 같아요. 터치 조작이 너무 예민해서 오작동이 잦아요.,,45,,,,negative
93,친구에게는 추천하지 않을 것 같아요. 리뷰만 믿고 샀는데 후회가 됩니다. !!,1.0,43,31.0,312.0,True,negative
94,귀에서 자꾸 빠져서 운동할 때 쓰기 힘들어요. 통화 음질이 먹먹하게 들려서 불편해요.,1.0,47,7.0,332.0,True,negative
95,디자인은 평범하지만 무난하게 쓰고 있어요. 딱히 불만은 없지만 감동도 없어요.,3.0,43,2.0,358.0,True,neutral
96,배터리는 딱 하루 쓸 정도예요. 연결은 대체로 안정적인 편이에요. 기대했던 만큼도 아니고 실망스럽지도 않아요. !!,3.0,64,4.0,246.0,True,neutral
97,가격 대비 성능이 훌륭한 이어폰이에요.,5.0,21,16.0,360.0,True,positive
98,페어링이 빠르고 간편해서 편리합니다. 디자인이 깔끔하고 케이스도 고급스러워요.,5.0,43,18.0,24.0,True,positive
99,케이스 배터리도 넉넉해서 외출할 때 든든해요. 통화 음질도 선명해서 업무용으로도 좋아요. 음질이 정말 선명하고 저음도 풍부해요. ㅠㅠ,,74,,,,positive
100,기대했던 만큼도 아니고 실망스럽지도 않아요. 디자인은 평범하지만 무난하게 쓰고 있어요. 그냥 저냥 무난하게 사용 중입니다. ㅠㅠ,3.0,71,24.0,147.0,True,neutral
101,배송도 늦고 포장 상태도 엉망이었어요. ^^,2.0,24,7.0,216.0,True,negative
102,가격이 저렴한 만큼 딱 그 정도예요. 딱히 불만은 없지만 감동도 없어요.,2.0,40,2.0,185.0,True,neutral
103,필요한 기능만 있는 심플한 제품이에요. 기대했던 만큼도 아니고 실망스럽지도 않아요. ㅠㅠ,3.0,49,6.0,52.0,True,neutral
104,연결이 끊기지 않고 아주 안정적이에요. 가성비 최고의 이어폰이라고 생각해요. ^^,5.0,45,22.0,14.0,False,positive
105,가격 대비 품질이 많이 아쉬워요. 리뷰만 믿고 샀는데 후회가 됩니다.,2.0,38,1111.0,236.0,True,negative
106,보통 수준이라 재구매는 고민 중이에요. 특별한 장점도 단점도 없는 것 같아요.,2.0,43,13.0,119.0,True,neutral
107,통화 음질이 먹먹하게 들려서 불편해요. 배송도 늦고 포장 상태도 엉망이었어요. ...,2.0,47,30.0,255.0,True,negative
108,통화 음질도 선명해서 업무용으로도 좋아요. 가성비 최고의 이어폰이라고 생각해요. 방수 기능 덕분에 운동할 때도 안심돼요.,5.0,67,8.0,210.0,False,positive
109,친구에게는 추천하지 않을 것 같아요. 노이즈캔슬링이 거의 작동하지 않는 것 같아요.,2.0,46,29.0,179.0,True,negative
110,리뷰만 믿고 샀는데 후회가 됩니다. 돈이 아깝다는 생각이 계속 들었어요.,2.0,40,9.0,365.0,False,neutral
111,통화 품질은 보통 수준이에요. ^^,3.0,19,9.0,217.0,True,neutral
112,그럭저럭 쓸만한 이어폰이에요. 특별한 장점도 단점도 없는 것 같아요.,3.0,38,22.0,19.0,True,neutral
113,방수 기능이 있다고 했는데 물에 약한 것 같아요. 가격 대비 품질이 많이 아쉬워요.,2.0,46,6.0,310.0,True,negative
114,디자인이 깔끔하고 케이스도 고급스러워요. 고음질 코덱을 지원해서 음악 감상이 즐거워요. 이 가격에 이 정도 성능이면 훌륭하죠. !!,4.0,73,8.0,274.0,True,positive
115,친구에게도 추천하고 싶은 이어폰이에요. 착용감이 편안해서 오래 껴도 아프지 않아요. ^^,5.0,49,,279.0,False,positive
116,통화 음질도 선명해서 업무용으로도 좋아요. 배터리가 오래가서 하루 종일 써도 걱정 없어요. 터치 조작이 직관적이라 편리해요.,4.0,69,15.0,194.0,True,positive
117,가성비 최고의 이어폰이라고 생각해요. ^^,4.0,23,0.0,159.0,False,positive
118,리뷰만 믿고 샀는데 후회가 됩니다. 한쪽 이어폰 소리가 유독 작게 들려요. 사진과 실물 색상이 많이 달라서 실망했어요.,1.0,66,12.0,324.0,True,negative
119,터치 조작이 너무 예민해서 오작동이 잦아요.,2.0,24,9.0,271.0,True,negative
120,설명서와 다르게 작동해서 당황스러웠습니다. 케이스 마감이 조잡하고 잘 깨질 것 같아요.,1.0,48,3.0,83.0,True,negative
121,터치 조작이 직관적이라 편리해요. 고음질 코덱을 지원해서 음악 감상이 즐거워요. 이 가격에 이 정도 성능이면 훌륭하죠. ^^,5.0,69,15.0,118.0,False,positive
122,매일 사용하는데 만족도가 점점 높아지네요. 선물용으로 구매했는데 반응이 아주 좋았어요. 음질이 정말 선명하고 저음도 풍부해요.,5.0,70,15.0,223.0,True,positive
123,친구에게도 추천하고 싶은 이어폰이에요. 선물용으로 구매했는데 반응이 아주 좋았어요.,5.0,46,5.0,257.0,False,positive
124,배터리가 금방 닳아서 자주 충전해야 해요. 음질이 기대했던 것보다 많이 별로였어요. ㅎㅎ,1.0,49,7.0,1.0,True,negative
125,연결은 대체로 안정적인 편이에요. 평이한 성능에 평이한 만족도예요. 특별한 장점도 단점도 없는 것 같아요. ^^,4.0,62,19.0,245.0,True,neutral
126,기대 이상의 퀄리티에 놀랐습니다. 착용감이 편안해서 오래 껴도 아프지 않아요.,4.0,43,11.0,98.0,True,positive
127,특별한 장점도 단점도 없는 것 같아요. 필요한 기능만 있는 심플한 제품이에요.,3.0,43,1.0,66.0,True,neutral
128,무게가 가벼워서 착용감이 뛰어나요. 고음질 코덱을 지원해서 음악 감상이 즐거워요. 생각보다 훨씬 만족스러운 구매였어요.,4.0,66,9.0,71.0,True,positive
129,보통 수준이라 재구매는 고민 중이에요. 기대했던 만큼도 아니고 실망스럽지도 않아요.,3.0,46,6.0,175.0,True,neutral
130,케이스 마감이 조잡하고 잘 깨질 것 같아요. 가격 대비 품질이 많이 아쉬워요. 친구에게는 추천하지 않을 것 같아요. ㅎㅎ,2.0,67,3.0,17.0,True,negative
131,이 가격에 이 정도 성능이면 훌륭하죠. !!,4.0,24,10.0,13.0,True,positive
132,음질이 기대했던 것보다 많이 별로였어요. 며칠 쓰지도 않았는데 한쪽이 고장났습니다. AS 문의를 했는데 응답이 너무 느렸어요.,1.0,70,576.0,317.0,True,negative
133,연결이 자꾸 끊겨서 스트레스를 받았어요.,2.0,22,6.0,271.0,True,negative
134,착용감이 불편해서 오래 끼기 힘들어요. 케이스 마감이 조잡하고 잘 깨질 것 같아요. ...,2.0,50,1.0,246.0,False,negative
135,배터리가 오래가서 하루 종일 써도 걱정 없어요. !!,5.0,29,15.0,302.0,True,positive
136,노이즈캔슬링이 거의 작동하지 않는 것 같아요. ㅎㅎ,1.0,28,8.0,215.0,True,negative
137,배터리가 금방 닳아서 자주 충전해야 해요. 착용감이 불편해서 오래 끼기 힘들어요.,2.0,45,12.0,18.0,True,negative
138,앱 연동 기능도 세심하게 잘 만들어졌어요. 선물용으로 구매했는데 반응이 아주 좋았어요.,5.0,48,1.0,358.0,False,positive
139,방수 기능이 있다고 했는데 물에 약한 것 같아요. 연결이 자꾸 끊겨서 스트레스를 받았어요. 다시는 구매하고 싶지 않은 제품이에요.,2.0,72,3.0,351.0,True,neutral
140,케이스 마감이 조잡하고 잘 깨질 것 같아요. AS 문의를 했는데 응답이 너무 느렸어요. ^^,1.0,51,16.0,275.0,True,negative
141,무게가 가벼워서 착용감이 뛰어나요.,4.0,19,13.0,199.0,True,positive
142,배터리는 딱 하루 쓸 정도예요. 착용감은 나쁘지 않지만 특별하지도 않아요. ㅎㅎ,3.0,44,2.0,105.0,True,neutral
143,디자인이 깔끔하고 케이스도 고급스러워요. ㅠㅠ,5.0,25,25.0,151.0,True,positive
144,페어링이 빠르고 간편해서 편리합니다.,5.0,20,12.0,356.0,True,positive
145,고음질 코덱을 지원해서 음악 감상이 즐거워요. 앱 연동 기능도 세심하게 잘 만들어졌어요. 그립감이 좋아서 귀에서 잘 빠지지 않아요.,5.0,73,14.0,329.0,True,positive
146,매일 사용하는데 만족도가 점점 높아지네요. 방수 기능 덕분에 운동할 때도 안심돼요. ^^,4.0,49,14.0,346.0,True,positive
147,AS 문의를 했는데 응답이 너무 느렸어요. 돈이 아깝다는 생각이 계속 들었어요. ㅎㅎ,2.0,47,8.0,282.0,True,negative
148,연결은 대체로 안정적인 편이에요. 딱히 불만은 없지만 감동도 없어요. ㅎㅎ,4.0,41,9.0,206.0,True,neutral
149,배터리가 오래가서 하루 종일 써도 걱정 없어요. 생각보다 훨씬 만족스러운 구매였어요. 디자인이 깔끔하고 케이스도 고급스러워요.,4.0,70,3.0,321.0,False,positive
150,케이스 배터리도 넉넉해서 외출할 때 든든해요. 가성비 최고의 이어폰이라고 생각해요. ㅠㅠ,5.0,49,22.0,316.0,True,positive
151,통화 음질이 먹먹하게 들려서 불편해요. 설명서와 다르게 작동해서 당황스러웠습니다.,2.0,45,7.0,194.0,True,negative
152,있어도 그만 없어도 그만인 느낌이에요.,3.0,21,3.0,96.0,True,neutral
153,고음질 코덱을 지원해서 음악 감상이 즐거워요. 디자인이 깔끔하고 케이스도 고급스러워요. ㅠㅠ,5.0,51,7.0,161.0,True,positive
154,음질이 기대했던 것보다 많이 별로였어요.,1.0,22,4.0,295.0,True,negative
155,터치 조작이 직관적이라 편리해요. 매일 사용하는데 만족도가 점점 높아지네요.,5.0,42,17.0,208.0,True,positive
156,터치 조작이 너무 예민해서 오작동이 잦아요. 한쪽 이어폰 소리가 유독 작게 들려요.,2.0,46,21.0,248.0,True,negative
157,방수 기능 덕분에 운동할 때도 안심돼요. 재구매 의사 백프로입니다 강추해요.,5.0,42,7.0,219.0,True,neutral
158,친구에게도 추천하고 싶은 이어폰이에요. 가성비 최고의 이어폰이라고 생각해요. ㅎㅎ,5.0,45,22.0,233.0,True,positive
159,케이스 마감이 조잡하고 잘 깨질 것 같아요. 며칠 쓰지도 않았는데 한쪽이 고장났습니다.,,48,,,,negative
160,통화 음질도 선명해서 업무용으로도 좋아요. 페어링이 빠르고 간편해서 편리합니다. 기대 이상의 퀄리티에 놀랐습니다. ㅎㅎ,4.0,66,19.0,85.0,True,positive
161,가성비 최고의 이어폰이라고 생각해요.,5.0,20,2.0,114.0,True,positive
162,이 가격에 이 정도 성능이면 훌륭하죠. 착용감이 편안해서 오래 껴도 아프지 않아요.,5.0,46,0.0,152.0,True,positive
163,돈이 아깝다는 생각이 계속 들었어요. ...,2.0,24,8.0,160.0,True,negative
164,가성비 최고의 이어폰이라고 생각해요. 생각보다 훨씬 만족스러운 구매였어요. ^^,,44,,,,positive
165,특별한 장점도 단점도 없는 것 같아요. 있어도 그만 없어도 그만인 느낌이에요.,3.0,43,10.0,101.0,False,neutral
166,노이즈캔슬링이 거의 작동하지 않는 것 같아요. 사진과 실물 색상이 많이 달라서 실망했어요. !!,1.0,53,10.0,112.0,True,negative
167,디자인은 평범하지만 무난하게 쓰고 있어요. 그럭저럭 쓸만한 이어폰이에요. ^^,,43,,,,neutral
168,터치 조작이 너무 예민해서 오작동이 잦아요. 방수 기능이 있다고 했는데 물에 약한 것 같아요. !!,2.0,55,21.0,7.0,True,negative
169,재구매 의사 백프로입니다 강추해요. 그립감이 좋아서 귀에서 잘 빠지지 않아요.,5.0,43,13.0,111.0,True,positive
170,통화 품질은 보통 수준이에요.,3.0,16,19.0,13.0,True,neutral
171,음질이 정말 선명하고 저음도 풍부해요. 이 가격에 이 정도 성능이면 훌륭하죠.,5.0,43,6.0,261.0,True,positive
172,디자인이 깔끔하고 케이스도 고급스러워요. 재구매 의사 백프로입니다 강추해요. 배터리가 오래가서 하루 종일 써도 걱정 없어요.,5.0,69,4.0,171.0,True,positive
173,배터리가 금방 닳아서 자주 충전해야 해요.,1.0,23,4.0,108.0,True,negative
174,한쪽 이어폰 소리가 유독 작게 들려요.,2.0,21,1.0,195.0,True,negative
175,그냥 저냥 무난하게 사용 중입니다. 있어도 그만 없어도 그만인 느낌이에요. 음질은 그냥 무난한 편이에요.,2.0,58,0.0,80.0,False,neutral
176,연결이 끊기지 않고 아주 안정적이에요. 생각보다 훨씬 만족스러운 구매였어요. ^^,5.0,45,1.0,24.0,True,positive
177,소리가 자꾸 끊겨서 음악 감상이 힘들어요. 배송도 늦고 포장 상태도 엉망이었어요. AS 문의를 했는데 응답이 너무 느렸어요. !!,1.0,72,,146.0,True,negative
178,연결이 끊기지 않고 아주 안정적이에요. 앱 연동 기능도 세심하게 잘 만들어졌어요. 페어링이 빠르고 간편해서 편리합니다.,5.0,66,8.0,300.0,True,positive
179,배터리가 오래가서 하루 종일 써도 걱정 없어요.,5.0,26,6.0,228.0,True,positive
180,친구에게도 추천하고 싶은 이어폰이에요. 케이스 배터리도 넉넉해서 외출할 때 든든해요. ^^,5.0,50,30.0,242.0,True,positive
181,연결은 대체로 안정적인 편이에요. 딱히 불만은 없지만 감동도 없어요. ^^,3.0,41,18.0,77.0,True,neutral
182,배터리는 딱 하루 쓸 정도예요. 가격이 저렴한 만큼 딱 그 정도예요. ㅎㅎ,3.0,41,7.0,266.0,True,neutral
183,통화 음질도 선명해서 업무용으로도 좋아요. 디자인이 깔끔하고 케이스도 고급스러워요. ^^,5.0,49,23.0,261.0,True,positive
184,그냥 저냥 무난하게 사용 중입니다. 가격만큼의 성능인 것 같아요. ^^,4.0,39,7.0,91.0,True,neutral
185,특별한 장점도 단점도 없는 것 같아요. 쓸 수는 있지만 추천까지는 아니에요. 딱히 불만은 없지만 감동도 없어요.,2.0,62,22.0,304.0,True,neutral
186,무게가 가벼워서 착용감이 뛰어나요. 통화 음질도 선명해서 업무용으로도 좋아요. ^^,5.0,46,11.0,221.0,True,positive
187,매일 사용하는데 만족도가 점점 높아지네요. 생각보다 훨씬 만족스러운 구매였어요. 케이스 배터리도 넉넉해서 외출할 때 든든해요.,4.0,70,9.0,132.0,True,positive
188,기대했던 만큼도 아니고 실망스럽지도 않아요. 가격만큼의 성능인 것 같아요. ^^,3.0,44,3.0,261.0,True,neutral
189,디자인이 깔끔하고 케이스도 고급스러워요. 선물용으로 구매했는데 반응이 아주 좋았어요.,5.0,47,5.0,222.0,True,positive
190,방수 기능이 있다고 했는데 물에 약한 것 같아요.,2.0,27,11.0,217.0,True,negative
191,터치 조작이 직관적이라 편리해요. 케이스 배터리도 넉넉해서 외출할 때 든든해요. ^^,5.0,47,18.0,196.0,True,positive
192,디자인은 평범하지만 무난하게 쓰고 있어요. ㅠㅠ,3.0,26,3.0,2216.0,True,neutral
193,그냥 저냥 무난하게 사용 중입니다. 디자인은 평범하지만 무난하게 쓰고 있어요.,2.0,43,7.0,330.0,True,neutral
194,터치 조작이 너무 예민해서 오작동이 잦아요. 노이즈캔슬링이 거의 작동하지 않는 것 같아요. 페어링이 자주 실패해서 짜증이 났어요.,1.0,72,,104.0,True,negative
195,귀에서 자꾸 빠져서 운동할 때 쓰기 힘들어요. 한쪽 이어폰 소리가 유독 작게 들려요. 통화 음질이 먹먹하게 들려서 불편해요.,2.0,69,21.0,80.0,False,negative
196,딱히 불만은 없지만 감동도 없어요. 평이한 성능에 평이한 만족도예요.,2.0,38,0.0,126.0,True,positive
